State_Code_Dest,County_Code_Dest,State_Code_Origin,County_Code_Origin,State_Abbrv,County_Name,Return_Num,Exmpt_Num,Aggr_AGI,,
26,000,96,000,MI,Total Mig - US & For,"182,299","333,351","7,357,435",,
26,000,97,000,MI,Total Mig - US,"178,348","327,868","7,265,116",,
26,000,97,001,MI,Total Mig - US Same St,"129,891","236,178","4,953,354",,
26,000,97,003,MI,Total Mig - US Diff St,"48,457","91,690","2,311,762",,
26,000,98,000,MI,Total Mig - Foreign,"3,951","5,483","92,319",,
26,001,96,000,MI,Alcona County Tot Mig-US & For,273,523,"12,034",,
26,001,97,000,MI,Alcona County Tot Mig-US,273,523,"12,034",,
26,001,97,001,MI,Alcona County Tot Mig-Same St,230,442,"10,365",,
26,001,97,003,MI,Alcona County Tot Mig-Diff St,43,81,"1,669",,
26,001,98,000,MI,Alcona County Tot Mig-Foreign,d,d,d,,
26,001,26,001,MI,Alcona County Non-Migrants,"4,158","8,384","157,475",,
26,001,26,069,MI,Iosco County,45,93,"1,123",,
26,001,26,163,MI,Wayne County,27,48,"1,486",,
26,001,26,007,MI,Alpena County,25,56,787,,
26,001,26,125,MI,Oakland County,24,47,"1,652",,
26,001,26,049,MI,Genesee County,16,27,764,,
26,001,26,099,MI,Macomb County,15,28,556,,
26,001,58,000,SS,Other Flows - Same State,78,143,"3,997",,
26,001,59,000,DS,Other Flows - Diff State,43,81,"1,669",,
26,003,96,000,MI,Alger County Tot Mig-US & For,209,393,"7,477",,
26,003,97,000,MI,Alger County Tot Mig-US,209,393,"7,477",,
26,003,97,001,MI,Alger County Tot Mig-Same St,150,283,"5,117",,
26,003,97,003,MI,Alger County Tot Mig-Diff St,59,110,"2,360",,
26,003,98,000,MI,Alger County Tot Mig-Foreign,d,d,d,,
26,003,26,003,MI,Alger County Non-Migrants,"3,272","7,016","137,405",,
26,003,26,103,MI,Marquette County,51,95,"1,807",,
26,003,26,041,MI,Delta County,13,25,366,,
26,003,58,000,SS,Other Flows - Same State,86,163,"2,945",,
26,003,59,000,DS,Other Flows - Diff State,59,110,"2,360",,
26,005,96,000,MI,Allegan County Tot Mig-US & For,"2,594","5,055","104,826",,
26,005,97,000,MI,Allegan County Tot Mig-US,"2,583","5,029","104,511",,
26,005,97,001,MI,Allegan County Tot Mig-Same St,"2,056","4,087","81,841",,
26,005,97,003,MI,Allegan County Tot Mig-Diff St,527,942,"22,670",,
26,005,98,000,MI,Allegan County Tot Mig-Foreign,11,26,315,,
26,005,26,005,MI,Allegan County Non-Migrants,"39,531","92,278","2,116,785",,
26,005,26,139,MI,Ottawa County,589,"1,217","21,727",,
26,005,26,081,MI,Kent County,520,"1,015","22,133",,
26,005,26,077,MI,Kalamazoo County,361,685,"15,540",,
26,005,26,159,MI,Van Buren County,125,280,"3,893",,
26,005,26,015,MI,Barry County,116,225,"3,585",,
26,005,17,031,IL,Cook County,47,75,"2,502",,
26,005,26,021,MI,Berrien County,30,70,"1,477",,
26,005,26,121,MI,Muskegon County,26,44,865,,
26,005,26,025,MI,Calhoun County,23,44,897,,
26,005,26,125,MI,Oakland County,20,38,"1,663",,
26,005,26,163,MI,Wayne County,17,27,737,,
26,005,26,049,MI,Genesee County,16,36,842,,
26,005,26,065,MI,Ingham County,15,28,679,,
26,005,26,161,MI,Washtenaw County,14,21,468,,
26,005,26,117,MI,Montcalm County,13,24,392,,
26,005,26,123,MI,Newaygo County,13,26,386,,
26,005,06,037,CA,Los Angeles County,12,17,673,,
26,005,17,043,IL,Du Page County,12,14,336,,
26,005,26,105,MI,Mason County,11,22,305,,
26,005,26,075,MI,Jackson County,10,29,497,,
26,005,58,000,SS,Other Flows - Same State,137,256,"5,755",,
26,005,59,000,DS,Other Flows - Diff State,456,836,"19,159",,
26,005,59,001,DS,Other Flows - Northeast,32,63,"1,716",,
26,005,59,003,DS,Other Flows - Midwest,128,246,"5,177",,
26,005,59,005,DS,Other Flows - South,211,394,"8,410",,
26,005,59,007,DS,Other Flows - West,85,133,"3,857",,
26,005,57,009,FR,Foreign - Other flows,11,26,315,,
26,007,96,000,MI,Alpena County Tot Mig-US & For,509,927,"15,762",,
26,007,97,000,MI,Alpena County Tot Mig-US,509,927,"15,762",,
26,007,97,001,MI,Alpena County Tot Mig-Same St,348,633,"10,777",,
26,007,97,003,MI,Alpena County Tot Mig-Diff St,161,294,"4,985",,
26,007,98,000,MI,Alpena County Tot Mig-Foreign,d,d,d,,
26,007,26,007,MI,Alpena County Non-Migrants,"11,236","24,043","490,916",,
26,007,26,141,MI,Presque Isle County,52,101,"1,421",,
26,007,26,119,MI,Montmorency County,35,62,841,,
26,007,26,001,MI,Alcona County,27,40,679,,
26,007,26,125,MI,Oakland County,23,37,916,,
26,007,26,163,MI,Wayne County,22,47,"1,226",,
26,007,26,081,MI,Kent County,18,26,370,,
26,007,26,137,MI,Otsego County,17,37,411,,
26,007,26,049,MI,Genesee County,15,30,509,,
26,007,26,099,MI,Macomb County,11,23,473,,
26,007,58,000,SS,Other Flows - Same State,128,230,"3,931",,
26,007,59,000,DS,Other Flows - Diff State,161,294,"4,985",,
26,009,96,000,MI,Antrim County Tot Mig-US & For,616,"1,217","32,477",,
26,009,97,000,MI,Antrim County Tot Mig-US,616,"1,217","32,477",,
26,009,97,001,MI,Antrim County Tot Mig-Same St,479,941,"20,318",,
26,009,97,003,MI,Antrim County Tot Mig-Diff St,137,276,"12,159",,
26,009,98,000,MI,Antrim County Tot Mig-Foreign,d,d,d,,
26,009,26,009,MI,Antrim County Non-Migrants,"8,571","18,383","433,759",,
26,009,26,055,MI,Grand Traverse Count,75,133,"2,568",,
26,009,26,079,MI,Kalkaska County,65,148,"1,535",,
26,009,26,029,MI,Charlevoix County,55,119,"1,630",,
26,009,26,137,MI,Otsego County,33,70,942,,
26,009,26,125,MI,Oakland County,32,64,"3,076",,
26,009,26,163,MI,Wayne County,24,46,"1,483",,
26,009,26,099,MI,Macomb County,16,34,933,,
26,009,26,047,MI,Emmet County,14,23,293,,
26,009,26,049,MI,Genesee County,12,23,553,,
26,009,26,065,MI,Ingham County,10,16,"1,019",,
26,009,26,081,MI,Kent County,10,16,463,,
26,009,26,093,MI,Livingston County,10,24,"1,700",,
26,009,58,000,SS,Other Flows - Same State,123,225,"4,124",,
26,009,59,000,DS,Other Flows - Diff State,137,276,"12,159",,
26,009,59,001,DS,Other Flows - Northeast,10,22,587,,
26,009,59,003,DS,Other Flows - Midwest,48,99,"6,222",,
26,009,59,005,DS,Other Flows - South,51,108,"4,128",,
26,009,59,007,DS,Other Flows - West,28,47,"1,223",,
26,011,96,000,MI,Arenac County Tot Mig-US & For,367,671,"11,326",,
26,011,97,000,MI,Arenac County Tot Mig-US,367,671,"11,326",,
26,011,97,001,MI,Arenac County Tot Mig-Same St,309,562,"10,053",,
26,011,97,003,MI,Arenac County Tot Mig-Diff St,58,109,"1,274",,
26,011,98,000,MI,Arenac County Tot Mig-Foreign,d,d,d,,
26,011,26,011,MI,Arenac County Non-Migrants,"6,030","12,934","230,849",,
26,011,26,017,MI,Bay County,70,116,"1,968",,
26,011,26,145,MI,Saginaw County,36,61,"1,413",,
26,011,26,129,MI,Ogemaw County,29,62,504,,
26,011,26,069,MI,Iosco County,28,59,695,,
26,011,26,049,MI,Genesee County,24,47,717,,
26,011,26,163,MI,Wayne County,19,30,"1,018",,
26,011,26,125,MI,Oakland County,17,33,634,,
26,011,26,099,MI,Macomb County,10,19,896,,
26,011,58,000,SS,Other Flows - Same State,76,135,"2,208",,
26,011,59,000,DS,Other Flows - Diff State,58,109,"1,274",,
26,013,96,000,MI,Baraga County Tot Mig-US & For,138,227,"5,229",,
26,013,97,000,MI,Baraga County Tot Mig-US,138,227,"5,229",,
26,013,97,001,MI,Baraga County Tot Mig-Same St,91,157,"3,545",,
26,013,97,003,MI,Baraga County Tot Mig-Diff St,47,70,"1,684",,
26,013,98,000,MI,Baraga County Tot Mig-Foreign,d,d,d,,
26,013,26,013,MI,Baraga County Non-Migrants,"2,799","5,970","121,020",,
26,013,26,061,MI,Houghton County,27,46,"1,254",,
26,013,26,103,MI,Marquette County,17,39,596,,
26,013,58,000,SS,Other Flows - Same State,47,72,"1,695",,
26,013,59,000,DS,Other Flows - Diff State,47,70,"1,684",,
26,015,96,000,MI,Barry County Tot Mig-US & For,"1,361","2,739","51,600",,
26,015,97,000,MI,Barry County Tot Mig-US,"1,361","2,739","51,600",,
26,015,97,001,MI,Barry County Tot Mig-Same St,"1,126","2,267","41,204",,
26,015,97,003,MI,Barry County Tot Mig-Diff St,235,472,"10,396",,
26,015,98,000,MI,Barry County Tot Mig-Foreign,d,d,d,,
26,015,26,015,MI,Barry County Non-Migrants,"21,369","49,551","1,169,932",,
26,015,26,081,MI,Kent County,327,693,"14,216",,
26,015,26,025,MI,Calhoun County,141,284,"4,904",,
26,015,26,077,MI,Kalamazoo County,134,248,"5,783",,
26,015,26,005,MI,Allegan County,119,257,"3,668",,
26,015,26,045,MI,Eaton County,89,174,"2,671",,
26,015,26,067,MI,Ionia County,72,150,"2,200",,
26,015,26,139,MI,Ottawa County,29,55,842,,
26,015,26,065,MI,Ingham County,18,30,449,,
26,015,26,163,MI,Wayne County,16,37,405,,
26,015,26,117,MI,Montcalm County,13,18,272,,
26,015,26,159,MI,Van Buren County,12,23,503,,
26,015,26,125,MI,Oakland County,11,27,420,,
26,015,26,021,MI,Berrien County,10,19,543,,
26,015,26,151,MI,Sanilac County,10,29,292,,
26,015,58,000,SS,Other Flows - Same State,125,223,"4,037",,
26,015,59,000,DS,Other Flows - Diff State,235,472,"10,396",,
26,015,59,001,DS,Other Flows - Northeast,14,23,603,,
26,015,59,003,DS,Other Flows - Midwest,76,149,"4,112",,
26,015,59,005,DS,Other Flows - South,92,182,"3,833",,
26,015,59,007,DS,Other Flows - West,53,118,"1,848",,
26,017,96,000,MI,Bay County Tot Mig-US & For,"1,635","2,789","54,047",,
