State_Code_Origin,County_Code_Origin,State_Code_Dest,County_Code_Dest,State_Abbr,Return_Num,Exmpt_Num,Aggr_AGI,,
26,000,96,000,MI,"219,233","399,708","9,414,407",,
26,000,97,000,MI,"217,064","395,868","9,309,223",,
26,000,97,001,MI,"129,891","236,178","4,953,354",,
26,000,97,003,MI,"87,173","159,690","4,355,869",,
26,000,98,000,MI,"2,169","3,840","105,184",,
26,001,96,000,MI,258,438,"7,564",,
26,001,97,000,MI,258,438,"7,564",,
26,001,97,001,MI,178,306,"5,143",,
26,001,97,003,MI,80,132,"2,421",,
26,001,98,000,MI,d,d,d,,
26,001,26,001,MI,"4,158","8,384","157,475",,
26,001,26,069,MI,48,83,"1,151",,
26,001,26,007,MI,27,40,679,,
26,001,26,125,MI,12,25,558,,
26,001,58,000,SS,91,158,"2,755",,
26,001,59,000,DS,80,132,"2,421",,
26,003,96,000,MI,190,300,"5,348",,
26,003,97,000,MI,190,300,"5,348",,
26,003,97,001,MI,110,176,"2,851",,
26,003,97,003,MI,80,124,"2,498",,
26,003,98,000,MI,d,d,d,,
26,003,26,003,MI,"3,272","7,016","137,405",,
26,003,26,103,MI,48,71,"1,215",,
26,003,26,041,MI,13,26,260,,
26,003,58,000,SS,49,79,"1,376",,
26,003,59,000,DS,80,124,"2,498",,
26,005,96,000,MI,"2,891","5,310","101,909",,
26,005,97,000,MI,"2,876","5,288","101,544",,
26,005,97,001,MI,"2,148","3,918","71,573",,
26,005,97,003,MI,728,"1,370","29,970",,
26,005,98,000,MI,15,22,365,,
26,005,26,005,MI,"39,531","92,278","2,116,785",,
26,005,26,139,MI,645,"1,257","23,275",,
26,005,26,081,MI,498,867,"15,735",,
26,005,26,077,MI,426,668,"13,276",,
26,005,26,159,MI,143,302,"4,166",,
26,005,26,015,MI,119,257,"3,668",,
26,005,17,031,IL,35,46,"2,150",,
26,005,26,121,MI,30,56,888,,
26,005,26,021,MI,25,50,878,,
26,005,26,125,MI,23,29,733,,
26,005,26,065,MI,21,27,359,,
26,005,26,025,MI,18,25,472,,
26,005,04,013,AZ,17,28,585,,
26,005,26,163,MI,16,24,601,,
26,005,48,215,TX,15,35,304,,
26,005,26,161,MI,13,21,723,,
26,005,26,123,MI,12,21,494,,
26,005,58,000,SS,159,314,"6,305",,
26,005,59,000,DS,661,"1,261","26,931",,
26,005,59,001,DS,40,73,"1,765",,
26,005,59,003,DS,156,304,"6,471",,
26,005,59,005,DS,334,663,"13,939",,
26,005,59,007,DS,131,221,"4,756",,
26,005,57,009,FR,15,22,365,,
26,007,96,000,MI,552,892,"20,981",,
26,007,97,000,MI,552,892,"20,981",,
26,007,97,001,MI,353,583,"9,748",,
26,007,97,003,MI,199,309,"11,233",,
26,007,98,000,MI,d,d,d,,
26,007,26,007,MI,"11,236","24,043","490,916",,
26,007,26,141,MI,41,78,"1,272",,
26,007,26,001,MI,25,56,787,,
26,007,26,081,MI,23,25,368,,
26,007,26,125,MI,21,28,546,,
26,007,26,119,MI,18,34,420,,
26,007,26,163,MI,17,24,431,,
26,007,26,055,MI,14,17,291,,
26,007,26,099,MI,14,24,543,,
26,007,26,065,MI,13,14,163,,
26,007,26,069,MI,12,23,307,,
26,007,26,145,MI,12,14,253,,
26,007,26,073,MI,11,19,325,,
26,007,26,103,MI,11,21,231,,
26,007,58,000,SS,121,206,"3,811",,
26,007,59,000,DS,199,309,"11,233",,
26,007,59,001,DS,15,30,469,,
26,007,59,003,DS,45,69,"1,281",,
26,007,59,005,DS,84,127,"8,069",,
26,007,59,007,DS,55,83,"1,414",,
26,009,96,000,MI,629,"1,161","22,246",,
26,009,97,000,MI,629,"1,161","22,246",,
26,009,97,001,MI,433,806,"13,579",,
26,009,97,003,MI,196,355,"8,667",,
26,009,98,000,MI,d,d,d,,
26,009,26,009,MI,"8,571","18,383","433,759",,
26,009,26,055,MI,114,191,"3,641",,
26,009,26,079,MI,56,124,"1,188",,
26,009,26,029,MI,54,114,"1,720",,
26,009,26,137,MI,28,71,"1,096",,
26,009,26,081,MI,20,35,621,,
26,009,26,065,MI,17,23,326,,
26,009,26,125,MI,11,12,"1,109",,
26,009,26,047,MI,10,16,279,,
26,009,58,000,SS,123,220,"3,600",,
26,009,59,000,DS,196,355,"8,667",,
26,011,96,000,MI,392,702,"11,611",,
26,011,97,000,MI,392,702,"11,611",,
26,011,97,001,MI,287,521,"8,262",,
26,011,97,003,MI,105,181,"3,349",,
26,011,98,000,MI,d,d,d,,
26,011,26,011,MI,"6,030","12,934","230,849",,
26,011,26,017,MI,77,143,"2,199",,
26,011,26,069,MI,25,48,495,,
26,011,26,145,MI,24,36,926,,
26,011,26,129,MI,21,40,409,,
26,011,26,049,MI,18,35,359,,
26,011,26,125,MI,17,26,566,,
26,011,26,111,MI,16,20,439,,
26,011,58,000,SS,89,173,"2,869",,
26,011,59,000,DS,105,181,"3,349",,
26,013,96,000,MI,175,319,"4,900",,
26,013,97,000,MI,175,319,"4,900",,
26,013,97,001,MI,97,169,"2,498",,
26,013,97,003,MI,78,150,"2,402",,
26,013,98,000,MI,d,d,d,,
26,013,26,013,MI,"2,799","5,970","121,020",,
26,013,26,061,MI,31,64,"1,035",,
26,013,26,103,MI,28,43,521,,
26,013,58,000,SS,38,62,942,,
26,013,59,000,DS,78,150,"2,402",,
26,015,96,000,MI,"1,426","2,578","49,414",,
26,015,97,000,MI,"1,426","2,578","49,414",,
26,015,97,001,MI,"1,104","2,020","36,097",,
26,015,97,003,MI,322,558,"13,317",,
26,015,98,000,MI,d,d,d,,
26,015,26,015,MI,"21,369","49,551","1,169,932",,
26,015,26,081,MI,301,501,"9,328",,
26,015,26,077,MI,182,294,"7,439",,
26,015,26,025,MI,156,304,"4,572",,
26,015,26,005,MI,116,225,"3,585",,
26,015,26,045,MI,93,204,"3,054",,
26,015,26,067,MI,52,122,"1,543",,
26,015,26,065,MI,24,41,516,,
26,015,26,139,MI,20,30,546,,
26,015,26,163,MI,13,21,434,,
26,015,04,013,AZ,10,17,395,,
26,015,58,000,SS,147,278,"5,081",,
26,015,59,000,DS,312,541,"12,921",,
26,015,59,001,DS,19,29,572,,
26,015,59,003,DS,76,129,"3,054",,
26,015,59,005,DS,157,278,"7,306",,
26,015,59,007,DS,60,105,"1,990",,
26,017,96,000,MI,"1,972","3,298","75,150",,
26,017,97,000,MI,"1,961","3,286","74,803",,
26,017,97,001,MI,"1,268","2,064","44,814",,
26,017,97,003,MI,693,"1,222","29,989",,
26,017,98,000,MI,11,12,347,,
26,017,26,017,MI,"42,651","90,041","2,040,969",,
26,017,26,145,MI,283,442,"9,057",,
26,017,26,111,MI,204,330,"6,258",,
26,017,26,125,MI,75,102,"2,678",,
26,017,26,011,MI,70,116,"1,968",,
26,017,26,157,MI,60,102,"1,801",,
26,017,26,081,MI,53,76,"1,574",,
26,017,26,049,MI,49,88,"3,341",,
26,017,26,065,MI,41,62,"1,405",,
26,017,26,051,MI,35,68,878,,
26,017,26,163,MI,34,55,"1,312",,
26,017,26,063,MI,25,31,720,,
26,017,26,099,MI,25,35,782,,
26,017,04,013,AZ,24,43,829,,
26,017,26,073,MI,23,34,817,,
26,017,26,069,MI,20,34,603,,
26,017,26,077,MI,19,29,510,,
26,017,26,161,MI,19,26,546,,
26,017,17,031,IL,18,23,661,,
26,017,26,139,MI,16,30,543,,
26,017,12,103,FL,15,23,457,,
26,017,26,129,MI,15,20,292,,
26,017,32,003,NV,15,23,698,,
26,017,26,045,MI,13,24,"1,714",,
26,017,06,037,CA,12,17,482,,
26,017,06,073,CA,12,15,268,,
26,017,26,093,MI,10,18,578,,
26,017,58,000,SS,179,342,"7,436",,
26,017,59,000,DS,597,"1,078","26,595",,
26,017,59,001,DS,39,58,"1,291",,
26,017,59,003,DS,148,281,"6,059",,
26,017,59,005,DS,306,564,"15,493",,
26,017,59,007,DS,104,175,"3,752",,
26,017,57,009,FR,11,12,347,,
26,019,96,000,MI,553,998,"15,948",,
26,019,97,000,MI,553,998,"15,948",,
