State_Code_Origin,County_Code_Origin,State_Code_Dest,County_Code_Dest,State_Abbrv,County_Name,Return_Num,Exmpt_Num,Aggr_AGI,,
26,000,96,000,MI,Total Mig - US & For,"231,573","420,579","9,886,302",,
26,000,97,000,MI,Total Mig - US,"229,527","416,926","9,771,710",,
26,000,97,001,MI,Total Mig - US Same St,"133,795","240,930","4,912,322",,
26,000,97,003,MI,Total Mig - US Diff St,"95,732","175,996","4,859,387",,
26,000,98,000,MI,Total Mig - Foreign,"2,046","3,653","114,592",,
26,001,96,000,MI,Alcona County Tot Mig-US & For,257,479,"7,419",,
26,001,97,000,MI,Alcona County Tot Mig-US,257,479,"7,419",,
26,001,97,001,MI,Alcona County Tot Mig-Same St,193,368,"4,606",,
26,001,97,003,MI,Alcona County Tot Mig-Diff St,64,111,"2,813",,
26,001,98,000,MI,Alcona County Tot Mig-Foreign,d,d,d,,
26,001,26,001,MI,Alcona County Non-Migrants,"4,345","8,636","166,318",,
26,001,26,069,MI,Iosco County,46,103,"1,091",,
26,001,26,007,MI,Alpena County,40,91,920,,
26,001,26,125,MI,Oakland County,12,16,355,,
26,001,26,163,MI,Wayne County,12,27,309,,
26,001,26,145,MI,Saginaw County,10,13,214,,
26,001,58,000,SS,Other Flows - Same State,73,118,"1,716",,
26,001,59,000,DS,Other Flows - Diff State,64,111,"2,813",,
26,003,96,000,MI,Alger County Tot Mig-US & For,210,383,"5,934",,
26,003,97,000,MI,Alger County Tot Mig-US,210,383,"5,934",,
26,003,97,001,MI,Alger County Tot Mig-Same St,134,250,"3,649",,
26,003,97,003,MI,Alger County Tot Mig-Diff St,76,133,"2,285",,
26,003,98,000,MI,Alger County Tot Mig-Foreign,d,d,d,,
26,003,26,003,MI,Alger County Non-Migrants,"3,473","7,241","145,700",,
26,003,26,103,MI,Marquette County,54,101,"1,407",,
26,003,26,041,MI,Delta County,11,20,439,,
26,003,58,000,SS,Other Flows - Same State,69,129,"1,803",,
26,003,59,000,DS,Other Flows - Diff State,76,133,"2,285",,
26,005,96,000,MI,Allegan County Tot Mig-US & For,"3,007","5,519","102,636",,
26,005,97,000,MI,Allegan County Tot Mig-US,"2,992","5,499","102,315",,
26,005,97,001,MI,Allegan County Tot Mig-Same St,"2,188","4,021","72,523",,
26,005,97,003,MI,Allegan County Tot Mig-Diff St,804,"1,478","29,792",,
26,005,98,000,MI,Allegan County Tot Mig-Foreign,15,20,321,,
26,005,26,005,MI,Allegan County Non-Migrants,"41,248","94,774","2,188,099",,
26,005,26,139,MI,Ottawa County,639,"1,232","19,565",,
26,005,26,081,MI,Kent County,515,839,"18,163",,
26,005,26,077,MI,Kalamazoo County,427,723,"14,302",,
26,005,26,159,MI,Van Buren County,147,327,"4,380",,
26,005,26,015,MI,Barry County,117,224,"3,551",,
26,005,17,031,IL,Cook County,34,46,"1,311",,
26,005,26,121,MI,Muskegon County,34,76,"1,212",,
26,005,26,021,MI,Berrien County,33,58,"1,125",,
26,005,26,125,MI,Oakland County,33,52,"1,622",,
26,005,26,065,MI,Ingham County,23,40,920,,
26,005,26,025,MI,Calhoun County,19,47,464,,
26,005,26,161,MI,Washtenaw County,19,31,543,,
26,005,04,013,AZ,Maricopa County,17,26,548,,
26,005,48,215,TX,Hidalgo County,17,43,245,,
26,005,26,163,MI,Wayne County,15,34,384,,
26,005,06,073,CA,San Diego County,13,18,356,,
26,005,06,037,CA,Los Angeles County,10,12,370,,
26,005,26,067,MI,Ionia County,10,25,225,,
26,005,58,000,SS,Other Flows - Same State,157,313,"6,068",,
26,005,59,000,DS,Other Flows - Diff State,713,"1,333","26,960",,
26,005,59,001,DS,Other Flows - Northeast,47,68,"2,029",,
26,005,59,003,DS,Other Flows - Midwest,215,412,"8,494",,
26,005,59,005,DS,Other Flows - South,313,600,"10,517",,
26,005,59,007,DS,Other Flows - West,138,253,"5,920",,
26,005,57,009,FR,Foreign - Other flows,15,20,321,,
26,007,96,000,MI,Alpena County Tot Mig-US & For,591,"1,013","16,180",,
26,007,97,000,MI,Alpena County Tot Mig-US,591,"1,013","16,180",,
26,007,97,001,MI,Alpena County Tot Mig-Same St,384,663,"10,076",,
26,007,97,003,MI,Alpena County Tot Mig-Diff St,207,350,"6,105",,
26,007,98,000,MI,Alpena County Tot Mig-Foreign,d,d,d,,
26,007,26,007,MI,Alpena County Non-Migrants,"11,949","24,867","523,186",,
26,007,26,141,MI,Presque Isle County,42,77,"1,219",,
26,007,26,001,MI,Alcona County,29,62,579,,
26,007,26,125,MI,Oakland County,26,41,860,,
26,007,26,055,MI,Grand Traverse County,21,33,774,,
26,007,26,081,MI,Kent County,20,34,417,,
26,007,26,119,MI,Montmorency County,20,30,365,,
26,007,26,163,MI,Wayne County,19,31,615,,
26,007,26,069,MI,Iosco County,15,29,308,,
26,007,26,161,MI,Washtenaw County,15,21,296,,
26,007,26,137,MI,Otsego County,14,26,310,,
26,007,26,099,MI,Macomb County,11,21,302,,
26,007,04,013,AZ,Maricopa County,10,22,230,,
26,007,26,065,MI,Ingham County,10,17,229,,
26,007,58,000,SS,Other Flows - Same State,142,241,"3,801",,
26,007,59,000,DS,Other Flows - Diff State,197,328,"5,875",,
26,007,59,001,DS,Other Flows - Northeast,12,17,409,,
26,007,59,003,DS,Other Flows - Midwest,40,66,"1,323",,
26,007,59,005,DS,Other Flows - South,96,173,"3,065",,
26,007,59,007,DS,Other Flows - West,49,72,"1,078",,
26,009,96,000,MI,Antrim County Tot Mig-US & For,661,"1,191","21,750",,
26,009,97,000,MI,Antrim County Tot Mig-US,661,"1,191","21,750",,
26,009,97,001,MI,Antrim County Tot Mig-Same St,459,842,"14,275",,
26,009,97,003,MI,Antrim County Tot Mig-Diff St,202,349,"7,474",,
26,009,98,000,MI,Antrim County Tot Mig-Foreign,d,d,d,,
26,009,26,009,MI,Antrim County Non-Migrants,"9,074","19,193","462,709",,
26,009,26,055,MI,Grand Traverse County,126,235,"4,332",,
26,009,26,079,MI,Kalkaska County,61,135,"1,462",,
26,009,26,029,MI,Charlevoix County,52,99,"1,231",,
26,009,26,137,MI,Otsego County,31,55,"1,063",,
26,009,26,125,MI,Oakland County,21,31,"1,250",,
26,009,26,081,MI,Kent County,18,26,500,,
26,009,26,047,MI,Emmet County,15,25,372,,
26,009,26,049,MI,Genesee County,11,17,359,,
26,009,58,000,SS,Other Flows - Same State,124,219,"3,705",,
26,009,59,000,DS,Other Flows - Diff State,202,349,"7,474",,
26,009,59,001,DS,Other Flows - Northeast,16,21,509,,
26,009,59,003,DS,Other Flows - Midwest,38,63,"1,528",,
26,009,59,005,DS,Other Flows - South,86,166,"3,473",,
26,009,59,007,DS,Other Flows - West,62,99,"1,963",,
26,011,96,000,MI,Arenac County Tot Mig-US & For,465,840,"13,160",,
26,011,97,000,MI,Arenac County Tot Mig-US,465,840,"13,160",,
26,011,97,001,MI,Arenac County Tot Mig-Same St,359,644,"9,233",,
26,011,97,003,MI,Arenac County Tot Mig-Diff St,106,196,"3,927",,
26,011,98,000,MI,Arenac County Tot Mig-Foreign,d,d,d,,
26,011,26,011,MI,Arenac County Non-Migrants,"6,280","13,090","244,813",,
26,011,26,017,MI,Bay County,100,179,"2,323",,
26,011,26,145,MI,Saginaw County,36,63,"1,097",,
26,011,26,069,MI,Iosco County,29,67,793,,
26,011,26,129,MI,Ogemaw County,28,61,620,,
26,011,26,125,MI,Oakland County,23,38,724,,
26,011,26,111,MI,Midland County,22,32,578,,
26,011,26,049,MI,Genesee County,20,36,630,,
26,011,26,099,MI,Macomb County,10,15,408,,
26,011,26,163,MI,Wayne County,10,21,292,,
26,011,58,000,SS,Other Flows - Same State,81,132,"1,768",,
26,011,59,000,DS,Other Flows - Diff State,106,196,"3,927",,
26,013,96,000,MI,Baraga County Tot Mig-US & For,173,292,"4,656",,
26,013,97,000,MI,Baraga County Tot Mig-US,173,292,"4,656",,
26,013,97,001,MI,Baraga County Tot Mig-Same St,97,168,"2,489",,
26,013,97,003,MI,Baraga County Tot Mig-Diff St,76,124,"2,167",,
26,013,98,000,MI,Baraga County Tot Mig-Foreign,d,d,d,,
26,013,26,013,MI,Baraga County Non-Migrants,"3,027","6,267","120,168",,
26,013,26,061,MI,Houghton County,32,60,802,,
26,013,26,103,MI,Marquette County,29,53,682,,
26,013,58,000,SS,Other Flows - Same State,36,55,"1,005",,
26,013,59,000,DS,Other Flows - Diff State,76,124,"2,167",,
26,015,96,000,MI,Barry County Tot Mig-US & For,"1,461","2,713","49,313",,
26,015,97,000,MI,Barry County Tot Mig-US,"1,461","2,713","49,313",,
26,015,97,001,MI,Barry County Tot Mig-Same St,"1,070","1,988","35,179",,
26,015,97,003,MI,Barry County Tot Mig-Diff St,391,725,"14,135",,
26,015,98,000,MI,Barry County Tot Mig-Foreign,d,d,d,,
26,015,26,015,MI,Barry County Non-Migrants,"22,136","50,477","1,219,263",,
26,015,26,081,MI,Kent County,279,470,"8,665",,
26,015,26,077,MI,Kalamazoo County,180,316,"5,921",,
26,015,26,005,MI,Allegan County,138,305,"4,296",,
26,015,26,025,MI,Calhoun County,131,249,"3,963",,
26,015,26,045,MI,Eaton County,76,157,"2,538",,
26,015,26,067,MI,Ionia County,61,114,"2,003",,
26,015,26,065,MI,Ingham County,28,38,765,,
26,015,26,139,MI,Ottawa County,26,61,"1,252",,
26,015,04,013,AZ,Maricopa County,19,34,726,,
26,015,26,163,MI,Wayne County,13,19,412,,
26,015,17,031,IL,Cook County,10,13,298,,
26,015,26,037,MI,Clinton County,10,25,695,,
26,015,58,000,SS,Other Flows - Same State,128,234,"4,669",,
26,015,59,000,DS,Other Flows - Diff State,362,678,"13,111",,
26,015,59,001,DS,Other Flows - Northeast,21,25,373,,
26,015,59,003,DS,Other Flows - Midwest,78,146,"3,187",,
