"GEOID","NAME","MedIncE","MedIncM","GiniE","GiniM","TotPopE","TotPopM","Year"
"26033","Chippewa County, Michigan",21030,749,0.4515,0.0278,39029,NA,2011
"26005","Allegan County, Michigan",25122,579,0.4009,0.0118,111405,NA,2011
"26125","Oakland County, Michigan",33374,309,0.4599,0.0031,1202625,NA,2011
"26003","Alger County, Michigan",20605,1453,0.4171,0.023,9571,NA,2011
"26121","Muskegon County, Michigan",20998,433,0.4354,0.0092,172745,NA,2011
"26089","Leelanau County, Michigan",26164,1059,0.456,0.0171,21685,NA,2011
"26087","Lapeer County, Michigan",26128,713,0.3965,0.0101,89218,NA,2011
"26151","Sanilac County, Michigan",21460,753,0.4164,0.0165,43554,NA,2011
"26073","Isabella County, Michigan",14300,618,0.4822,0.0118,69861,NA,2011
"26131","Ontonagon County, Michigan",21021,1245,0.4115,0.021,6848,NA,2011
"26157","Tuscola County, Michigan",22549,593,0.3879,0.0081,56134,NA,2011
"26001","Alcona County, Michigan",18881,830,0.4271,0.02,11102,NA,2011
"26067","Ionia County, Michigan",22390,900,0.404,0.0126,64418,NA,2011
"26079","Kalkaska County, Michigan",20383,726,0.4031,0.0131,17321,NA,2011
"26021","Berrien County, Michigan",22063,416,0.4709,0.0087,157109,NA,2011
"26135","Oscoda County, Michigan",18171,1556,0.4017,0.029,8791,NA,2011
"26165","Wexford County, Michigan",21380,755,0.4157,0.0149,32711,NA,2011
"26037","Clinton County, Michigan",29666,952,0.4157,0.0143,74752,NA,2011
"26043","Dickinson County, Michigan",22397,938,0.4447,0.0332,26436,NA,2011
"26063","Huron County, Michigan",21019,631,0.4178,0.0118,33305,NA,2011
"26065","Ingham County, Michigan",21955,341,0.4663,0.0064,281257,NA,2011
"26105","Mason County, Michigan",21570,869,0.4293,0.0126,28682,NA,2011
"26109","Menominee County, Michigan",22935,870,0.4012,0.0132,24138,NA,2011
"26117","Montcalm County, Michigan",20956,500,0.4087,0.0107,63431,NA,2011
"26113","Missaukee County, Michigan",20716,964,0.391,0.0131,14937,NA,2011
"26149","St. Joseph County, Michigan",23281,781,0.4221,0.0113,61630,NA,2011
"26147","St. Clair County, Michigan",24351,468,0.4148,0.0088,164374,NA,2011
"26159","Van Buren County, Michigan",22217,543,0.4295,0.0145,76410,NA,2011
"26161","Washtenaw County, Michigan",29104,548,0.4666,0.0059,344727,NA,2011
"26011","Arenac County, Michigan",19239,820,0.4309,0.0192,16226,NA,2011
"26015","Barry County, Michigan",26176,694,0.3984,0.0169,59422,NA,2011
"26027","Cass County, Michigan",23634,880,0.4279,0.0124,52373,NA,2011
"26071","Iron County, Michigan",19696,890,0.4001,0.0168,11965,NA,2011
