"d_fips","n_return_in","n_exempt_in","agi","year"
"26000",542946,994570,21979986,2007
"26001",1092,2092,48136,2007
"26003",836,1572,29909,2007
"26005",10821,21030,438149,2007
"26007",2036,3708,63048,2007
"26009",2601,5144,142069,2007
"26011",1468,2684,45306,2007
"26013",552,908,20916,2007
"26015",5679,11428,216797,2007
"26017",6878,11760,227706,2007
"26019",1968,3724,89936,2007
"26021",11948,23722,559911,2007
"26023",3643,7248,112916,2007
"26025",9402,17744,331524,2007
"26027",5172,10516,221292,2007
"26029",2524,4896,119103,2007
"26031",2405,4533,102578,2007
"26033",2951,5221,95653,2007
"26035",2876,5412,92826,2007
"26037",8610,15898,355709,2007
"26039",1264,2356,43443,2007
"26041",2331,4260,85934,2007
"26043",1836,3516,70248,2007
"26045",14521,26237,511029,2007
"26047",3738,6703,188773,2007
"26049",23974,45077,870379,2007
"26051",1916,3520,69787,2007
"26053",1152,2124,40104,2007
"26055",10473,18559,453986,2007
"26057",2972,5728,85703,2007
"26059",3743,7608,144178,2007
"26061",3204,5314,102354,2007
"26063",2084,3719,71761,2007
"26065",31448,50827,997689,2007
"26067",5096,9870,167924,2007
"26069",2947,5591,104348,2007
"26071",1000,1884,39575,2007
"26073",6941,11296,200962,2007
"26075",10263,18924,354934,2007
"26077",24172,41280,964924,2007
"26079",1832,3368,59613,2007
"26081",44276,77812,1650857,2007
"26083",96,192,7192,2007
"26085",1256,2472,42499,2007
"26087",6990,13618,282015,2007
"26089",2332,4311,208814,2007
"26091",6892,13116,258832,2007
"26093",16803,32181,919250,2007
"26095",528,1060,17426,2007
"26097",1348,2404,45686,2007
"26099",59246,111847,2218908,2007
"26101",2203,4213,79995,2007
"26103",5402,9057,181997,2007
"26105",2472,4456,87720,2007
"26107",4364,7944,137498,2007
"26109",1848,3508,69479,2007
"26111",7436,13759,326047,2007
"26113",1472,2916,49868,2007
"26115",11830,23429,542690,2007
"26117",5484,11291,179271,2007
"26119",1048,1928,36774,2007
"26121",10471,20005,393255,2007
"26123",4397,8954,151409,2007
"26125",102101,183265,5224829,2007
"26127",2240,4528,78809,2007
"26129",1916,3500,63706,2007
"26131",504,924,16676,2007
"26133",2264,4668,64501,2007
"26135",860,1704,27913,2007
"26137",2672,5024,107740,2007
"26139",23060,44094,1096491,2007
"26141",1048,1916,39949,2007
"26143",2508,4800,94925,2007
"26145",10710,19327,367512,2007
"26147",10606,20569,400678,2007
"26149",4774,9403,152533,2007
"26151",3232,6236,127274,2007
"26153",520,952,23394,2007
"26155",5674,10558,174995,2007
"26157",4403,8481,134961,2007
"26159",6937,14205,258010,2007
"26161",42542,69523,1912602,2007
"26163",82056,152845,3266503,2007
"26165",3568,6788,117130,2007
"26000",573969,1034839,22338838,2008
"26001",1100,2144,45119,2008
"26003",760,1380,25308,2008
"26005",11438,22385,455374,2008
"26007",2072,3916,65894,2008
"26009",2594,4950,105752,2008
"26011",1588,2996,45805,2008
"26013",456,868,17561,2008
"26015",5402,10471,212116,2008
"26017",7936,13991,254394,2008
"26019",2276,4205,93662,2008
"26021",13251,25922,644630,2008
"26023",3641,7018,112286,2008
"26025",9931,18761,351427,2008
"26027",5365,11086,229087,2008
"26029",2798,5001,107023,2008
"26031",2364,4248,100117,2008
"26033",2908,5487,98904,2008
"26035",2992,5760,89147,2008
"26037",8827,15721,361486,2008
"26039",1484,2792,48664,2008
"26041",2439,4526,78858,2008
"26043",2044,3460,67496,2008
"26045",14218,24762,473450,2008
"26047",4017,7119,251431,2008
"26049",23151,42209,821059,2008
"26051",2304,4392,92997,2008
"26053",1304,2388,44687,2008
"26055",10240,18098,404319,2008
"26057",3293,6446,106608,2008
"26059",3524,7096,120140,2008
"26061",3470,5875,123661,2008
"26063",2022,3498,71885,2008
"26065",32405,52207,1014916,2008
"26067",4840,9460,152986,2008
"26069",2910,5325,100389,2008
"26071",872,1644,29442,2008
"26073",7116,11711,199370,2008
"26075",9943,18605,361062,2008
"26077",24672,41493,1026551,2008
"26079",2016,3952,64773,2008
"26081",45068,78629,1742240,2008
"26083",292,508,15058,2008
"26085",1332,2556,38144,2008
"26087",7191,14014,280459,2008
"26089",2468,4533,164580,2008
"26091",6806,12668,245283,2008
"26093",16555,31019,1009076,2008
"26095",400,840,15356,2008
"26097",1375,2417,49948,2008
"26099",62634,118864,2301292,2008
"26101",2076,3844,76129,2008
"26103",5668,9553,210422,2008
"26105",2448,4468,89565,2008
"26107",4530,8342,147214,2008
"26109",1976,3688,68593,2008
"26111",7972,15085,398064,2008
"26113",1516,3156,41976,2008
"26115",11683,22510,475520,2008
"26117",6348,13039,188013,2008
"26119",1128,2028,46519,2008
