"o_fips","n_return_out","n_exempt_out","agi","year"
"01000",346138,724986,13422993,2012
"01001",9023,20394,390665,2012
"01003",18881,38144,816259,2012
"01005",3328,6894,92805,2012
"01007",2168,4881,78310,2012
"01009",5256,11791,194141,2012
"01011",964,2294,29759,2012
"01013",2075,4135,59030,2012
"01015",11472,24237,406523,2012
"01017",4056,9475,131701,2012
"01019",2060,4388,57267,2012
"01021",3772,9225,106024,2012
"01023",764,1714,29018,2012
"01025",2226,4999,81046,2012
"01027",1326,3137,52697,2012
"01029",1358,3076,43504,2012
"01031",9132,19856,384375,2012
"01033",5508,11051,187181,2012
"01035",1187,2517,31415,2012
"01037",1139,2547,30219,2012
"01039",3205,6782,97841,2012
"01041",1929,4171,57590,2012
"01043",6385,13572,208429,2012
"01045",10298,24889,394053,2012
"01047",4233,8660,115310,2012
"01049",6322,15215,173594,2012
"01051",11868,24141,439244,2012
"01053",3054,6424,96463,2012
"01055",8045,16968,273491,2012
"01057",1401,3070,45096,2012
"01059",3811,11965,101650,2012
"01061",2815,6017,88617,2012
"01063",714,1520,16830,2012
"01065",1978,4335,65468,2012
"01067",2097,4471,65697,2012
"01069",12958,27240,464741,2012
"01071",4131,8795,140275,2012
"01073",59941,117787,2890467,2012
"01075",1043,2427,32843,2012
"01077",7805,15295,313877,2012
"01079",2595,5484,86116,2012
"01081",19792,39606,699400,2012
"01083",9744,21117,429934,2012
"01085",1572,3467,42720,2012
"01087",2939,5891,70044,2012
"01089",32689,65115,1542453,2012
"01091",2198,4873,76112,2012
"01093",2628,6142,75017,2012
"01095",9635,23156,301533,2012
"01097",29529,57915,1132578,2012
"01099",1722,3804,59182,2012
"01101",28632,55678,988744,2012
"01103",11679,26681,483469,2012
"01105",1158,2431,33444,2012
"01107",1479,3320,46954,2012
"01109",4176,9052,121401,2012
"01111",1945,4829,59280,2012
"01113",13759,29010,429203,2012
"01115",8675,18360,352457,2012
"01117",24746,50688,1395169,2012
"01119",1098,2274,43038,2012
"01121",7584,15811,263005,2012
"01123",5507,13731,184512,2012
"01125",16910,32797,625498,2012
"01127",4810,10814,162422,2012
"01129",1466,3246,47680,2012
"01131",1187,2580,30952,2012
"01133",2244,4815,79165,2012
"02000",79930,154712,3948447,2012
"02013",614,1067,23272,2012
"02016",1148,1860,49615,2012
"02020",50015,96382,2629928,2012
"02050",1426,2758,74809,2012
"02060",242,442,13029,2012
"02068",538,957,28480,2012
"02070",570,1086,27796,2012
"02090",20205,42130,867148,2012
"02100",407,719,15530,2012
"02105",326,545,12136,2012
"02110",5146,8827,272685,2012
"02122",8251,14799,403977,2012
"02130",2207,3937,98051,2012
"02150",3022,6470,135327,2012
"02164",198,349,6909,2012
"02170",11989,23961,588654,2012
"02180",945,1720,48468,2012
"02185",870,1608,53077,2012
"02188",820,1700,48478,2012
"02195",652,1162,29953,2012
"02198",587,1257,26650,2012
"02220",1579,2826,72230,2012
"02230",196,253,5521,2012
"02240",1423,3086,78442,2012
"02261",2003,3506,109809,2012
