"GEOID1","MOVEDOUT_M","MOVEDIN","MOVEDOUT","MOVEDNET","MOVEDNET_M","year"
"2610914240",0,8,0,8,8,2010
"2610919580",114,17,114,-98,-98,2010
"2610927300",0,1,0,1,1,2010
"2610933160",0,29,0,29,29,2010
"2610936760",130,127,130,-8,-8,2010
"2610938760",0,14,0,14,14,2010
"2610940600",34,122,34,88,88,2010
"2610944360",16,46,16,27,27,2010
"2610952860",227,46,227,-181,-181,2010
"2610953020",633,468,633,-165,-165,2010
"2610953040",76,262,76,186,186,2010
"2610953460",84,31,84,-53,-53,2010
"2610956440",16,67,16,51,51,2010
"2610975350",101,141,101,40,40,2010
"2610976380",131,118,131,-13,-13,2010
"2610976400",42,3,42,-39,-39,2010
"2610914240",0,7,0,7,7,2011
"2610919580",110,26,110,-84,-84,2011
"2610927300",0,4,0,4,4,2011
"2610933160",0,36,0,36,36,2011
"2610936760",140,104,140,-39,-39,2011
"2610938760",0,20,0,20,20,2011
"2610940600",33,123,33,90,90,2011
"2610944360",15,39,15,21,21,2011
"2610952860",115,62,115,-53,-53,2011
"2610953020",649,362,649,-287,-287,2011
"2610953040",112,208,112,96,96,2011
"2610953460",105,31,105,-74,-74,2011
"2610956440",10,31,10,21,21,2011
"2610975350",70,143,70,71,71,2011
"2610976380",142,116,142,-26,-26,2011
"2610976400",30,23,30,-7,-7,2011
"2610914240",2,10,2,8,8,2012
"2610919580",63,20,63,-43,-43,2012
"2610927300",0,5,0,5,5,2012
"2610933160",0,21,0,21,21,2012
"2610936760",173,114,173,-62,-62,2012
"2610938760",0,16,0,16,16,2012
"2610940600",59,108,59,49,49,2012
"2610944360",21,37,21,13,13,2012
"2610952860",71,67,71,-4,-4,2012
"2610953020",647,507,647,-140,-140,2012
"2610953040",72,176,72,104,104,2012
"2610953460",117,17,117,-100,-100,2012
"2610956440",11,32,11,21,21,2012
"2610975350",63,194,63,131,131,2012
"2610976380",96,125,96,29,29,2012
"2610976400",22,20,22,-2,-2,2012
"2610914240",3,12,3,9,9,2013
"2610919580",44,12,44,-32,-32,2013
"2610927300",0,10,0,10,10,2013
"2610933160",0,40,0,33,33,2013
